task_id,source_split,bench,original_task_id,dimension,model,source_model,resolved,apply_ok,graded,in_tok,out_tok,calls,cost_usd,source_status,cost_source
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,bug_fixing,qwen3.5-plus,qwen3.5-plus,0,1,1,292260,4778,15,0.03530208,fail,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,claude-opus-4-6,claude-opus-4-6,1,1,1,205845,3128,17,1.107425,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,1,1,1,244939,4200,19,0.797817,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.1037925,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,glm-5,glm-5,1,1,1,254940,4448,15,0.217296,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,kimi-k2.5,kimi-k2.6,0,1,1,217550,2115,12,0.008309,fail,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,1,1,1,99051,1889,7,0.104718,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,Qwen3-Max,qwen3.6-plus,1,1,1,65928,1078,6,0.02390316,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,qwen3.5-plus,qwen3.5-plus,1,1,1,292260,4778,15,0.03530208,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,bug_fixing,claude-opus-4-6,claude-opus-4-6,0,1,1,205845,3128,17,1.107425,fail,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,0,1,1,244939,4200,19,0.797817,fail,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.1037925,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,bug_fixing,glm-5,glm-5,0,1,1,254940,4448,15,0.217296,fail,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,bug_fixing,kimi-k2.5,kimi-k2.6,0,1,1,217550,2115,12,0.008309,fail,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,0,1,1,99051,1889,7,0.104718,fail,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,bug_fixing,Qwen3-Max,qwen3.6-plus,0,1,1,65928,1078,6,0.02390316,fail,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_hooks.34620588.lv1,bug_fixing,qwen3.5-plus,qwen3.5-plus,0,1,1,292260,4778,15,0.03530208,fail,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,bug_fixing,claude-opus-4-6,claude-opus-4-6,1,1,1,205845,3128,17,1.107425,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,0,1,1,244939,4200,19,0.797817,fail,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.1037925,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,bug_fixing,glm-5,glm-5,1,1,1,254940,4448,15,0.217296,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,bug_fixing,kimi-k2.5,kimi-k2.6,0,1,1,217550,2115,12,0.008309,fail,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,1,1,1,99051,1889,7,0.104718,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,bug_fixing,Qwen3-Max,qwen3.6-plus,1,1,1,65928,1078,6,0.02390316,pass,token_log_pricing
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_xla.7c94e7d2.lv1,bug_fixing,qwen3.5-plus,qwen3.5-plus,0,1,1,292260,4778,15,0.03530208,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,bug_fixing,claude-opus-4-6,claude-opus-4-6,0,1,1,205845,3128,17,1.107425,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,0,1,1,244939,4200,19,0.797817,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.1037925,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,bug_fixing,glm-5,glm-5,1,1,1,254940,4448,15,0.217296,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,bug_fixing,kimi-k2.5,kimi-k2.6,0,1,1,217550,2115,12,0.008309,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,1,1,1,99051,1889,7,0.104718,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,bug_fixing,Qwen3-Max,qwen3.6-plus,1,1,1,65928,1078,6,0.02390316,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compressed.8daeb7d6.lv1,bug_fixing,qwen3.5-plus,qwen3.5-plus,0,1,1,292260,4778,15,0.03530208,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,bug_fixing,claude-opus-4-6,claude-opus-4-6,0,1,1,205845,3128,17,1.107425,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,0,1,1,244939,4200,19,0.797817,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.1037925,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,bug_fixing,glm-5,glm-5,1,1,1,254940,4448,15,0.217296,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,bug_fixing,kimi-k2.5,kimi-k2.6,0,1,1,217550,2115,12,0.008309,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,1,1,1,99051,1889,7,0.104718,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,bug_fixing,Qwen3-Max,qwen3.6-plus,1,1,1,65928,1078,6,0.02390316,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_compression_failures.48dc420b.lv1,bug_fixing,qwen3.5-plus,qwen3.5-plus,1,1,1,292260,4778,15,0.03530208,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,bug_fixing,claude-opus-4-6,claude-opus-4-6,1,1,1,205845,3128,17,1.107425,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,0,1,1,244939,4200,19,0.797817,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.1037925,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,bug_fixing,glm-5,glm-5,1,1,1,254940,4448,15,0.217296,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,bug_fixing,kimi-k2.5,kimi-k2.6,0,1,1,217550,2115,12,0.008309,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,1,1,1,99051,1889,7,0.104718,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,bug_fixing,Qwen3-Max,qwen3.6-plus,1,1,1,65928,1078,6,0.02390316,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_converter.2ef0539f.lv1,bug_fixing,qwen3.5-plus,qwen3.5-plus,1,1,1,292260,4778,15,0.03530208,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_table.48eef659.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_table.48eef659.lv1,bug_fixing,claude-opus-4-6,claude-opus-4-6,1,1,1,205845,3128,17,1.107425,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_table.48eef659.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_table.48eef659.lv1,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,0,1,1,244939,4200,19,0.797817,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_table.48eef659.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_table.48eef659.lv1,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.1037925,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_table.48eef659.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_table.48eef659.lv1,bug_fixing,glm-5,glm-5,1,1,1,254940,4448,15,0.217296,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_table.48eef659.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_table.48eef659.lv1,bug_fixing,kimi-k2.5,kimi-k2.6,0,1,1,217550,2115,12,0.008309,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_table.48eef659.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_table.48eef659.lv1,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,1,1,1,99051,1889,7,0.104718,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_table.48eef659.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_table.48eef659.lv1,bug_fixing,Qwen3-Max,qwen3.6-plus,1,1,1,65928,1078,6,0.02390316,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_table.48eef659.lv1,new64,featurebench,astropy__astropy.b0db0daa.test_table.48eef659.lv1,bug_fixing,qwen3.5-plus,qwen3.5-plus,1,1,1,292260,4778,15,0.03530208,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,new64,featurebench,astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,bug_fixing,claude-opus-4-6,claude-opus-4-6,1,1,1,205845,3128,17,1.107425,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,new64,featurebench,astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,0,1,1,244939,4200,19,0.797817,fail,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,new64,featurebench,astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.1037925,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,new64,featurebench,astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,bug_fixing,glm-5,glm-5,1,1,1,254940,4448,15,0.217296,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,new64,featurebench,astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,bug_fixing,kimi-k2.5,kimi-k2.6,1,1,1,217550,2115,12,0.008309,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,new64,featurebench,astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,1,1,1,99051,1889,7,0.104718,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,new64,featurebench,astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,bug_fixing,Qwen3-Max,qwen3.6-plus,1,1,1,65928,1078,6,0.02390316,pass,token_log_pricing
new64::featurebench::astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,new64,featurebench,astropy__astropy.b0db0daa.test_tree.261bac3c.lv2,bug_fixing,qwen3.5-plus,qwen3.5-plus,1,1,1,292260,4778,15,0.03530208,pass,token_log_pricing
new64::featurebench::fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,new64,featurebench,fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,bug_fixing,claude-opus-4-6,claude-opus-4-6,1,1,1,205845,3128,17,1.107425,pass,token_log_pricing
new64::featurebench::fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,new64,featurebench,fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,1,1,1,244939,4200,19,0.797817,pass,token_log_pricing
new64::featurebench::fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,new64,featurebench,fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.1037925,pass,token_log_pricing
new64::featurebench::fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,new64,featurebench,fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,bug_fixing,glm-5,glm-5,1,1,1,254940,4448,15,0.217296,pass,token_log_pricing
new64::featurebench::fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,new64,featurebench,fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,bug_fixing,kimi-k2.5,kimi-k2.6,0,1,1,217550,2115,12,0.008309,fail,token_log_pricing
new64::featurebench::fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,new64,featurebench,fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,1,1,1,99051,1889,7,0.104718,pass,token_log_pricing
new64::featurebench::fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,new64,featurebench,fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,bug_fixing,Qwen3-Max,qwen3.6-plus,1,1,1,65928,1078,6,0.02390316,pass,token_log_pricing
new64::featurebench::fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,new64,featurebench,fastapi__fastapi.02e108d1.test_compat.71e8518f.lv2,bug_fixing,qwen3.5-plus,qwen3.5-plus,1,1,1,292260,4778,15,0.03530208,pass,token_log_pricing
new64::featurebench::huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,new64,featurebench,huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,bug_fixing,claude-opus-4-6,claude-opus-4-6,1,1,1,205845,3128,17,1.107425,pass,token_log_pricing
new64::featurebench::huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,new64,featurebench,huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,0,1,1,244939,4200,19,0.797817,fail,token_log_pricing
new64::featurebench::huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,new64,featurebench,huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.1037925,pass,token_log_pricing
new64::featurebench::huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,new64,featurebench,huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,bug_fixing,glm-5,glm-5,1,1,1,254940,4448,15,0.217296,pass,token_log_pricing
new64::featurebench::huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,new64,featurebench,huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,bug_fixing,kimi-k2.5,kimi-k2.6,1,1,1,217550,2115,12,0.008309,pass,token_log_pricing
new64::featurebench::huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,new64,featurebench,huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,1,1,1,99051,1889,7,0.104718,pass,token_log_pricing
new64::featurebench::huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,new64,featurebench,huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,bug_fixing,Qwen3-Max,qwen3.6-plus,1,1,1,65928,1078,6,0.02390316,pass,token_log_pricing
new64::featurebench::huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,new64,featurebench,huggingface__transformers.e2e8dbed.test_modeling_speech_to_text.e53c8eb4.lv2,bug_fixing,qwen3.5-plus,qwen3.5-plus,1,1,1,292260,4778,15,0.03530208,pass,token_log_pricing
