task_id,split,dimension,model,score,cost_usd,total_tokens,latency_ms
dim1_mbpp_567,train,code_generation,qwen3.5-plus,0.0,0.0,3489,60729
dim1_bcb_BigCodeBench/607,train,code_generation,claude-opus-4-6,0.0,0.0,776,8782
dim1_bcb_BigCodeBench/607,train,code_generation,claude-sonnet-4-6,0.0,0.0,736,6906
dim1_bcb_BigCodeBench/607,train,code_generation,gpt-5.4,0.0,0.0,564,7941
dim1_bcb_BigCodeBench/607,train,code_generation,glm-5,0.0,0.0,2824,67944
dim1_bcb_BigCodeBench/607,train,code_generation,kimi-k2.5,0.0,0.0,640,19360
dim1_bcb_BigCodeBench/607,train,code_generation,MiniMax-M2.7,0.0,0.0,3529,44224
dim1_bcb_BigCodeBench/607,train,code_generation,Qwen3-Max,0.0,0.0,453,13980
dim1_bcb_BigCodeBench/607,train,code_generation,qwen3.5-plus,0.0,0.0,4846,83503
dim1_bcb_BigCodeBench/1127,train,code_generation,claude-opus-4-6,1.0,0.0,532,5918
dim1_bcb_BigCodeBench/1127,train,code_generation,claude-sonnet-4-6,0.0,0.0,553,5912
dim1_bcb_BigCodeBench/1127,train,code_generation,gpt-5.4,1.0,0.0,331,4751
dim1_bcb_BigCodeBench/1127,train,code_generation,glm-5,1.0,0.0,2075,0
dim1_bcb_BigCodeBench/1127,train,code_generation,kimi-k2.5,0.0,0.0,369,10561
dim1_bcb_BigCodeBench/1127,train,code_generation,MiniMax-M2.7,0.0,0.0,5601,76302
dim1_bcb_BigCodeBench/1127,train,code_generation,Qwen3-Max,0.0,0.0,343,8769
dim1_bcb_BigCodeBench/1127,train,code_generation,qwen3.5-plus,0.0,0.0,1223,16539
dim1_bcb_BigCodeBench/377,train,code_generation,claude-opus-4-6,0.0,0.0,302,3714
dim1_bcb_BigCodeBench/377,train,code_generation,claude-sonnet-4-6,0.0,0.0,310,2808
dim1_bcb_BigCodeBench/377,train,code_generation,gpt-5.4,0.0,0.0,271,3246
dim1_bcb_BigCodeBench/377,train,code_generation,glm-5,0.0,0.0,2895,82545
dim1_bcb_BigCodeBench/377,train,code_generation,kimi-k2.5,0.0,0.0,302,7827
dim1_bcb_BigCodeBench/377,train,code_generation,MiniMax-M2.7,0.0,0.0,808,10892
dim1_bcb_BigCodeBench/377,train,code_generation,Qwen3-Max,0.0,0.0,287,7334
dim1_bcb_BigCodeBench/377,train,code_generation,qwen3.5-plus,0.0,0.0,3156,52227
dim1_bcb_BigCodeBench/323,train,code_generation,claude-opus-4-6,0.0,0.0,539,5040
dim1_bcb_BigCodeBench/323,train,code_generation,claude-sonnet-4-6,0.0,0.0,551,4893
dim1_bcb_BigCodeBench/323,train,code_generation,gpt-5.4,0.0,0.0,509,6550
dim1_bcb_BigCodeBench/323,train,code_generation,glm-5,1.0,0.0,2075,0
dim1_bcb_BigCodeBench/323,train,code_generation,kimi-k2.5,0.0,0.0,466,13338
dim1_bcb_BigCodeBench/323,train,code_generation,MiniMax-M2.7,0.0,0.0,1770,0
dim1_bcb_BigCodeBench/323,train,code_generation,Qwen3-Max,0.0,0.0,511,13094
dim1_bcb_BigCodeBench/323,train,code_generation,qwen3.5-plus,0.0,0.0,1059,13862
dim1_mbpp_297,train,code_generation,claude-opus-4-6,1.0,0.0,229,3935
dim1_mbpp_297,train,code_generation,claude-sonnet-4-6,0.0,0.0,844,10268
dim1_mbpp_297,train,code_generation,gpt-5.4,0.0,0.0,97,4315
dim1_mbpp_297,train,code_generation,glm-5,0.0,0.0,680,21683
dim1_mbpp_297,train,code_generation,kimi-k2.5,0.0,0.0,110,3768
dim1_mbpp_297,train,code_generation,MiniMax-M2.7,0.0,0.0,600,11984
dim1_mbpp_297,train,code_generation,Qwen3-Max,1.0,0.0,102,2278
dim1_mbpp_297,train,code_generation,qwen3.5-plus,0.0,0.0,423,7058
dim1_bcb_BigCodeBench/1105,train,code_generation,claude-opus-4-6,0.0,0.0,425,4555
dim1_bcb_BigCodeBench/1105,train,code_generation,claude-sonnet-4-6,0.0,0.0,666,6340
dim1_bcb_BigCodeBench/1105,train,code_generation,gpt-5.4,0.0,0.0,441,6942
dim1_bcb_BigCodeBench/1105,train,code_generation,glm-5,0.0,0.0,2709,75110
dim1_bcb_BigCodeBench/1105,train,code_generation,kimi-k2.5,0.0,0.0,541,15983
dim1_bcb_BigCodeBench/1105,train,code_generation,MiniMax-M2.7,0.0,0.0,1061,12259
dim1_bcb_BigCodeBench/1105,train,code_generation,Qwen3-Max,0.0,0.0,371,7517
dim1_bcb_BigCodeBench/1105,train,code_generation,qwen3.5-plus,0.0,0.0,5402,90451
dim1_bcb_BigCodeBench/147,train,code_generation,claude-opus-4-6,0.0,0.0,379,4352
dim1_bcb_BigCodeBench/147,train,code_generation,claude-sonnet-4-6,0.0,0.0,369,3642
dim1_bcb_BigCodeBench/147,train,code_generation,gpt-5.4,0.0,0.0,427,9830
dim1_bcb_BigCodeBench/147,train,code_generation,glm-5,0.0,0.0,1707,37598
dim1_bcb_BigCodeBench/147,train,code_generation,kimi-k2.5,0.0,0.0,341,9706
dim1_bcb_BigCodeBench/147,train,code_generation,MiniMax-M2.7,0.0,0.0,1194,17537
dim1_bcb_BigCodeBench/147,train,code_generation,Qwen3-Max,0.0,0.0,304,10010
dim1_bcb_BigCodeBench/147,train,code_generation,qwen3.5-plus,0.0,0.0,811,10389
dim1_mbpp_67,train,code_generation,claude-opus-4-6,1.0,0.0,1024,13607
dim1_mbpp_67,train,code_generation,claude-sonnet-4-6,0.0,0.0,1606,20993
dim1_mbpp_67,train,code_generation,gpt-5.4,1.0,0.0,302,6973
dim1_mbpp_67,train,code_generation,glm-5,1.0,0.0,2341,57715
dim1_mbpp_67,train,code_generation,kimi-k2.5,1.0,0.0,272,9714
dim1_mbpp_67,train,code_generation,MiniMax-M2.7,1.0,0.0,2288,34451
dim1_mbpp_67,train,code_generation,Qwen3-Max,1.0,0.0,187,5219
dim1_mbpp_67,train,code_generation,qwen3.5-plus,1.0,0.0,912,13548
dim1_bcb_BigCodeBench/1012,train,code_generation,claude-opus-4-6,0.0,0.0,574,5613
dim1_bcb_BigCodeBench/1012,train,code_generation,claude-sonnet-4-6,0.0,0.0,623,5780
dim1_bcb_BigCodeBench/1012,train,code_generation,gpt-5.4,0.0,0.0,464,6779
dim1_bcb_BigCodeBench/1012,train,code_generation,glm-5,0.0,0.0,3580,84793
dim1_bcb_BigCodeBench/1012,train,code_generation,kimi-k2.5,0.0,0.0,403,9459
dim1_bcb_BigCodeBench/1012,train,code_generation,MiniMax-M2.7,0.0,0.0,1202,17124
dim1_bcb_BigCodeBench/1012,train,code_generation,Qwen3-Max,0.0,0.0,413,11803
dim1_bcb_BigCodeBench/1012,train,code_generation,qwen3.5-plus,0.0,0.0,4930,85010
dim1_mbpp_79,train,code_generation,claude-opus-4-6,1.0,0.0,175,4513
dim1_mbpp_79,train,code_generation,claude-sonnet-4-6,0.0,0.0,174,2929
dim1_mbpp_79,train,code_generation,gpt-5.4,0.0,0.0,84,2409
dim1_mbpp_79,train,code_generation,glm-5,0.0,0.0,374,12722
dim1_mbpp_79,train,code_generation,kimi-k2.5,0.0,0.0,81,1805
dim1_mbpp_79,train,code_generation,MiniMax-M2.7,0.0,0.0,131,1620
dim1_mbpp_79,train,code_generation,Qwen3-Max,0.0,0.0,77,1162
dim1_mbpp_79,train,code_generation,qwen3.5-plus,0.0,0.0,595,8549
dim1_bcb_BigCodeBench/236,val,code_generation,claude-opus-4-6,0.0,0.0,514,4214
dim1_bcb_BigCodeBench/236,val,code_generation,claude-sonnet-4-6,0.0,0.0,515,4109
dim1_bcb_BigCodeBench/236,val,code_generation,gpt-5.4,0.0,0.0,515,6081
dim1_bcb_BigCodeBench/236,val,code_generation,glm-5,0.0,0.0,2125,48667
dim1_bcb_BigCodeBench/236,val,code_generation,kimi-k2.5,0.0,0.0,458,11843
dim1_bcb_BigCodeBench/236,val,code_generation,MiniMax-M2.7,0.0,0.0,2090,26179
dim1_bcb_BigCodeBench/236,val,code_generation,Qwen3-Max,0.0,0.0,473,13253
dim1_bcb_BigCodeBench/236,val,code_generation,qwen3.5-plus,0.0,0.0,5235,81084
dim1_bcb_BigCodeBench/193,train,code_generation,claude-opus-4-6,1.0,0.0,811,5684
dim1_bcb_BigCodeBench/193,train,code_generation,claude-sonnet-4-6,1.0,0.0,800,5636
dim1_bcb_BigCodeBench/193,train,code_generation,gpt-5.4,1.0,0.0,741,7130
dim1_bcb_BigCodeBench/193,train,code_generation,glm-5,0.0,0.0,4137,90212
dim1_bcb_BigCodeBench/193,train,code_generation,kimi-k2.5,1.0,0.0,624,12754
dim1_bcb_BigCodeBench/193,train,code_generation,MiniMax-M2.7,1.0,0.0,2394,29983
dim1_bcb_BigCodeBench/193,train,code_generation,Qwen3-Max,1.0,0.0,611,13072
dim1_bcb_BigCodeBench/193,train,code_generation,qwen3.5-plus,1.0,0.0,1498,20282
dim1_humaneval_HumanEval_88,train,code_generation,claude-opus-4-6,1.0,0.0,305,3322
dim1_humaneval_HumanEval_88,train,code_generation,claude-sonnet-4-6,1.0,0.0,329,2443
dim1_humaneval_HumanEval_88,train,code_generation,gpt-5.4,1.0,0.0,282,3811
dim1_humaneval_HumanEval_88,train,code_generation,glm-5,1.0,0.0,1368,34526
dim1_humaneval_HumanEval_88,train,code_generation,kimi-k2.5,1.0,0.0,298,3224
dim1_humaneval_HumanEval_88,train,code_generation,MiniMax-M2.7,1.0,0.0,992,12208
dim1_humaneval_HumanEval_88,train,code_generation,Qwen3-Max,1.0,0.0,294,2805
dim1_humaneval_HumanEval_88,train,code_generation,qwen3.5-plus,1.0,0.0,4294,60077
dim1_bcb_BigCodeBench/162,train,code_generation,claude-opus-4-6,0.0,0.0,452,5124
dim1_bcb_BigCodeBench/162,train,code_generation,claude-sonnet-4-6,0.0,0.0,425,4219
dim1_bcb_BigCodeBench/162,train,code_generation,gpt-5.4,0.0,0.0,351,5246
dim1_bcb_BigCodeBench/162,train,code_generation,glm-5,0.0,0.0,3169,88339
dim1_bcb_BigCodeBench/162,train,code_generation,kimi-k2.5,0.0,0.0,434,14288
dim1_bcb_BigCodeBench/162,train,code_generation,MiniMax-M2.7,0.0,0.0,4794,68920
dim1_bcb_BigCodeBench/162,train,code_generation,Qwen3-Max,0.0,0.0,428,12529
dim1_bcb_BigCodeBench/162,train,code_generation,qwen3.5-plus,0.0,0.0,825,11150
dim1_bcb_BigCodeBench/398,val,code_generation,claude-opus-4-6,1.0,0.0,220,2999
dim1_bcb_BigCodeBench/398,val,code_generation,claude-sonnet-4-6,1.0,0.0,247,3121
dim1_bcb_BigCodeBench/398,val,code_generation,gpt-5.4,1.0,0.0,196,3455
dim1_bcb_BigCodeBench/398,val,code_generation,glm-5,1.0,0.0,939,23594
dim1_bcb_BigCodeBench/398,val,code_generation,kimi-k2.5,1.0,0.0,199,4448
dim1_bcb_BigCodeBench/398,val,code_generation,MiniMax-M2.7,1.0,0.0,828,11821
dim1_bcb_BigCodeBench/398,val,code_generation,Qwen3-Max,1.0,0.0,194,3960
dim1_bcb_BigCodeBench/398,val,code_generation,qwen3.5-plus,1.0,0.0,1848,28299
dim1_bcb_BigCodeBench/556,train,code_generation,claude-opus-4-6,1.0,0.0,306,2975
dim1_bcb_BigCodeBench/556,train,code_generation,claude-sonnet-4-6,1.0,0.0,299,2786
dim1_bcb_BigCodeBench/556,train,code_generation,gpt-5.4,1.0,0.0,418,5331
dim1_bcb_BigCodeBench/556,train,code_generation,glm-5,1.0,0.0,675,13906
dim1_bcb_BigCodeBench/556,train,code_generation,kimi-k2.5,1.0,0.0,280,6285
dim1_bcb_BigCodeBench/556,train,code_generation,MiniMax-M2.7,1.0,0.0,818,9289
dim1_bcb_BigCodeBench/556,train,code_generation,Qwen3-Max,1.0,0.0,302,4719
dim1_bcb_BigCodeBench/556,train,code_generation,qwen3.5-plus,1.0,0.0,646,8292
dim1_bcb_BigCodeBench/952,train,code_generation,claude-opus-4-6,0.0,0.0,486,4498
dim1_bcb_BigCodeBench/952,train,code_generation,claude-sonnet-4-6,0.0,0.0,479,3680
dim1_bcb_BigCodeBench/952,train,code_generation,gpt-5.4,0.0,0.0,393,5632
dim1_bcb_BigCodeBench/952,train,code_generation,glm-5,0.0,0.0,2630,62650
dim1_bcb_BigCodeBench/952,train,code_generation,kimi-k2.5,0.0,0.0,412,9317
dim1_bcb_BigCodeBench/952,train,code_generation,MiniMax-M2.7,0.0,0.0,1967,25169
dim1_bcb_BigCodeBench/952,train,code_generation,Qwen3-Max,0.0,0.0,432,9629
dim1_bcb_BigCodeBench/952,train,code_generation,qwen3.5-plus,0.0,0.0,3476,53250
dim1_humaneval_HumanEval_161,val,code_generation,claude-opus-4-6,1.0,0.0,216,2578
dim1_humaneval_HumanEval_161,val,code_generation,claude-sonnet-4-6,1.0,0.0,260,2628
dim1_humaneval_HumanEval_161,val,code_generation,gpt-5.4,1.0,0.0,195,4682
dim1_humaneval_HumanEval_161,val,code_generation,glm-5,1.0,0.0,1321,35014
dim1_humaneval_HumanEval_161,val,code_generation,kimi-k2.5,1.0,0.0,198,3115
dim1_humaneval_HumanEval_161,val,code_generation,MiniMax-M2.7,1.0,0.0,720,9572
dim1_humaneval_HumanEval_161,val,code_generation,Qwen3-Max,1.0,0.0,198,3198
dim1_humaneval_HumanEval_161,val,code_generation,qwen3.5-plus,1.0,0.0,2719,42112
dim1_bcb_BigCodeBench/233,train,code_generation,claude-opus-4-6,0.0,0.0,445,4623
dim1_bcb_BigCodeBench/233,train,code_generation,claude-sonnet-4-6,0.0,0.0,470,3862
dim1_bcb_BigCodeBench/233,train,code_generation,gpt-5.4,0.0,0.0,364,4589
dim1_bcb_BigCodeBench/233,train,code_generation,glm-5,0.0,0.0,2200,51390
dim1_bcb_BigCodeBench/233,train,code_generation,kimi-k2.5,0.0,0.0,365,8165
dim1_bcb_BigCodeBench/233,train,code_generation,MiniMax-M2.7,0.0,0.0,1179,15441
dim1_bcb_BigCodeBench/233,train,code_generation,Qwen3-Max,0.0,0.0,403,10191
dim1_bcb_BigCodeBench/233,train,code_generation,qwen3.5-plus,0.0,0.0,784,9809
dim1_bcb_BigCodeBench/588,train,code_generation,claude-opus-4-6,0.0,0.0,409,3468
dim1_bcb_BigCodeBench/588,train,code_generation,claude-sonnet-4-6,0.0,0.0,449,3646
dim1_bcb_BigCodeBench/588,train,code_generation,gpt-5.4,0.0,0.0,368,3768
dim1_bcb_BigCodeBench/588,train,code_generation,glm-5,0.0,0.0,2413,69612
dim1_bcb_BigCodeBench/588,train,code_generation,kimi-k2.5,0.0,0.0,383,7777
dim1_bcb_BigCodeBench/588,train,code_generation,MiniMax-M2.7,0.0,0.0,1802,25076
dim1_bcb_BigCodeBench/588,train,code_generation,Qwen3-Max,0.0,0.0,383,8059
dim1_bcb_BigCodeBench/588,train,code_generation,qwen3.5-plus,0.0,0.0,2230,33238
dim1_bcb_BigCodeBench/58,train,code_generation,claude-opus-4-6,0.0,0.0,424,4880
dim1_bcb_BigCodeBench/58,train,code_generation,claude-sonnet-4-6,0.0,0.0,402,4262
dim1_bcb_BigCodeBench/58,train,code_generation,gpt-5.4,0.0,0.0,313,4370
dim1_bcb_BigCodeBench/58,train,code_generation,glm-5,0.0,0.0,1800,45633
dim1_bcb_BigCodeBench/58,train,code_generation,kimi-k2.5,0.0,0.0,358,9623
dim1_bcb_BigCodeBench/58,train,code_generation,MiniMax-M2.7,0.0,0.0,1169,16253
dim1_bcb_BigCodeBench/58,train,code_generation,Qwen3-Max,0.0,0.0,348,8430
dim1_bcb_BigCodeBench/58,train,code_generation,qwen3.5-plus,0.0,0.0,814,10356
dim1_bcb_BigCodeBench/745,train,code_generation,claude-opus-4-6,0.0,0.0,251,3051
dim1_bcb_BigCodeBench/745,train,code_generation,claude-sonnet-4-6,0.0,0.0,258,2889
dim1_bcb_BigCodeBench/745,train,code_generation,gpt-5.4,0.0,0.0,217,2226
dim1_bcb_BigCodeBench/745,train,code_generation,glm-5,0.0,0.0,485,9128
dim1_bcb_BigCodeBench/745,train,code_generation,kimi-k2.5,0.0,0.0,210,4802
dim1_bcb_BigCodeBench/745,train,code_generation,MiniMax-M2.7,0.0,0.0,781,10602
dim1_bcb_BigCodeBench/745,train,code_generation,Qwen3-Max,0.0,0.0,233,3938
dim1_bcb_BigCodeBench/745,train,code_generation,qwen3.5-plus,0.0,0.0,4763,80506
