bench,task_id,qwen3.5-plus,qwen3.6-plus,kimi-k2.6,glm-5,MiniMax-M2.5,gpt-5.4-medium,claude-opus-4-6,claude-sonnet-4-6
featurebench,linkedin__Liger-Kernel.c856fbab.test_fused_neighborhood_attention.78217be4.lv2,pass,pass,pass,pass,pass,pass,pass,fail
featurebench,linkedin__Liger-Kernel.c856fbab.test_mini_models.96209d55.lv1,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,linkedin__Liger-Kernel.c856fbab.test_multi_token_attention.4c06a35b.lv1,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,matplotlib__matplotlib.86a476d2.test_angle_helper.48e96b5a.lv2,pass,pass,pass,pass,pass,pass,pass,fail
featurebench,matplotlib__matplotlib.86a476d2.test_backend_registry.872ba384.lv1,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,mesonbuild__meson.f5d81d07.cargotests.8e49c2d0.lv2,pass,pass,fail,pass,pass,pass,pass,pass
featurebench,mlflow__mlflow.93dab383.test_client_webhooks.75e39b52.lv2,pass,pass,fail,pass,pass,pass,pass,pass
featurebench,mlflow__mlflow.93dab383.test_file_store_logged_model.a9596c54.lv2,pass,pass,fail,pass,fail,pass,fail,pass
featurebench,mlflow__mlflow.93dab383.test_numpy_dataset.1beaad57.lv2,pass,pass,fail,pass,pass,pass,fail,pass
featurebench,mlflow__mlflow.93dab383.test_trace_manager.bb95fbcd.lv2,pass,pass,fail,pass,pass,pass,fail,pass
featurebench,mlflow__mlflow.93dab383.test_tracing.0dc1e3a3.lv2,pass,pass,pass,pass,pass,pass,fail,pass
featurebench,mwaskom__seaborn.7001ebe7.test_algorithms.1f0181c2.lv2,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,mwaskom__seaborn.7001ebe7.test_scales.d9dcdef6.lv1,pass,fail,pass,pass,pass,pass,pass,fail
featurebench,optuna__optuna.e7c6f1dd.test_heartbeat.5ad4d08f.lv1,pass,pass,pass,pass,pass,pass,fail,fail
featurebench,pandas-dev__pandas.82fa2715.test_http_headers.aafb551e.lv1,fail,pass,fail,pass,pass,pass,pass,fail
featurebench,pandas-dev__pandas.82fa2715.test_iceberg.85771c70.lv2,pass,pass,pass,pass,pass,pass,pass,fail
featurebench,pandas-dev__pandas.82fa2715.test_info.d8a64ebf.lv1,pass,fail,fail,pass,pass,pass,pass,fail
featurebench,pydantic__pydantic.e1dcaf9e.test_deprecated_fields.40a2ec54.lv1,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,pydantic__pydantic.e1dcaf9e.test_experimental_arguments_schema.00dc2dd4.lv1,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,pydantic__pydantic.e1dcaf9e.test_titles.e806bda8.lv1,pass,pass,fail,pass,pass,pass,fail,fail
featurebench,pydata__xarray.97f3a746.test_coordinate_transform.6cacb660.lv2,pass,pass,pass,pass,pass,pass,pass,fail
featurebench,pypa__hatch.ff4b4040.test_fmt.782c88a8.lv1,pass,pass,fail,pass,pass,pass,fail,fail
featurebench,pytest-dev__pytest.68016f0e.raises_group.c28bf36a.lv1,pass,pass,fail,pass,pass,pass,fail,fail
featurebench,python__mypy.8e2ce962.testconstraints.db380fe7.lv2,pass,pass,pass,pass,pass,pass,pass,fail
featurebench,scikit-learn__scikit-learn.5741bac9.test_arff_parser.ecde431a.lv1,pass,pass,fail,pass,pass,pass,fail,fail
featurebench,scikit-learn__scikit-learn.5741bac9.test_public_functions.28421aef.lv1,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,sphinx-doc__sphinx.e347e59c.test_build_gettext.2721e644.lv1,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,sphinx-doc__sphinx.e347e59c.test_build_linkcheck.20428c8f.lv1,pass,pass,fail,pass,pass,pass,pass,pass
featurebench,sphinx-doc__sphinx.e347e59c.test_domain_c.4068b9e8.lv1,pass,pass,fail,pass,pass,pass,pass,fail
featurebench,sphinx-doc__sphinx.e347e59c.test_util_nodes.08cdc62d.lv1,pass,pass,fail,pass,pass,pass,fail,pass
featurebench,sympy__sympy.c1097516.test_nullspace.f14fc970.lv1,fail,pass,fail,fail,fail,pass,fail,fail
longcli,61810_cow,fail,fail,fail,fail,fail,fail,fail,fail
longcli,61810_fs,fail,fail,fail,fail,fail,fail,fail,fail
longcli,61810_lock,fail,fail,fail,fail,fail,fail,fail,fail
longcli,61810_mmap,fail,fail,fail,fail,fail,fail,fail,fail
longcli,61810_net,fail,fail,fail,fail,fail,fail,fail,fail
longcli,61810_pgtbl,fail,fail,fail,fail,fail,fail,fail,fail
longcli,61810_syscall,fail,fail,fail,fail,fail,pass,pass,fail
longcli,61810_thread,fail,fail,fail,fail,fail,fail,fail,fail
longcli,61810_traps,fail,fail,fail,fail,fail,fail,fail,fail
longcli,61810_util,fail,pass,fail,fail,fail,fail,pass,fail
longcli,ap1400_2_hw26,fail,pass,fail,fail,fail,pass,pass,fail
longcli,ap1400_2_hw35,pass,fail,fail,fail,fail,pass,pass,fail
longcli,cs61_fa24_ants,fail,fail,fail,fail,fail,fail,fail,fail
longcli,cs61_fa24_hw08,fail,fail,fail,fail,fail,fail,fail,fail
swe_ci,anthropics__claude-agent-sdk-python__91315e__22fa9f,pass,pass,pass,pass,pass,pass,pass,pass
